,SERVICE_PROVIDER_ID,COUNTRY_CODE,YEAR_NO,MONTH_NO,DAY_NO,HOUR_NO,NumberOfHits,DATA_TYPE
143,7,434.0,2023.0,2.0,7.0,1.0,2983,GEO DATA
144,7,434.0,2023.0,2.0,7.0,2.0,1873,GEO DATA
145,7,434.0,2023.0,2.0,7.0,3.0,1996,GEO DATA
146,7,434.0,2023.0,2.0,7.0,4.0,1920,GEO DATA
147,7,434.0,2023.0,2.0,7.0,5.0,2198,GEO DATA
148,7,434.0,2023.0,2.0,7.0,6.0,2590,GEO DATA
149,7,434.0,2023.0,2.0,7.0,7.0,2769,GEO DATA
150,7,434.0,2023.0,2.0,7.0,8.0,2977,GEO DATA
151,7,434.0,2023.0,2.0,7.0,9.0,3305,GEO DATA
152,7,434.0,2023.0,2.0,7.0,10.0,3103,GEO DATA
153,7,434.0,2023.0,2.0,7.0,11.0,2995,GEO DATA
154,7,434.0,2023.0,2.0,7.0,12.0,3572,GEO DATA
155,7,434.0,2023.0,2.0,7.0,13.0,4412,GEO DATA
156,7,434.0,2023.0,2.0,7.0,14.0,3476,GEO DATA
157,7,434.0,2023.0,2.0,7.0,15.0,4670,GEO DATA
158,7,434.0,2023.0,2.0,7.0,16.0,3921,GEO DATA
159,7,434.0,2023.0,2.0,7.0,17.0,3570,GEO DATA
160,7,434.0,2023.0,2.0,7.0,18.0,5156,GEO DATA
161,7,434.0,2023.0,2.0,7.0,19.0,4280,GEO DATA
162,7,434.0,2023.0,2.0,7.0,20.0,4681,GEO DATA
163,7,434.0,2023.0,2.0,7.0,21.0,3195,GEO DATA
164,7,434.0,2023.0,2.0,7.0,22.0,3439,GEO DATA
165,7,434.0,2023.0,2.0,7.0,23.0,4142,GEO DATA
166,7,434.0,2023.0,2.0,8.0,0.0,2927,GEO DATA
167,7,434.0,2023.0,2.0,8.0,1.0,2449,GEO DATA
168,7,434.0,2023.0,2.0,8.0,2.0,1814,GEO DATA
169,7,434.0,2023.0,2.0,8.0,3.0,1771,GEO DATA
170,7,434.0,2023.0,2.0,8.0,4.0,1666,GEO DATA
171,7,434.0,2023.0,2.0,8.0,5.0,1660,GEO DATA
172,7,434.0,2023.0,2.0,8.0,6.0,2578,GEO DATA
173,7,434.0,2023.0,2.0,8.0,7.0,2504,GEO DATA
174,7,434.0,2023.0,2.0,8.0,8.0,2546,GEO DATA
175,7,434.0,2023.0,2.0,8.0,9.0,2890,GEO DATA
176,7,434.0,2023.0,2.0,8.0,10.0,2656,GEO DATA
177,7,434.0,2023.0,2.0,8.0,11.0,2801,GEO DATA
178,7,434.0,2023.0,2.0,8.0,12.0,3150,GEO DATA
179,7,434.0,2023.0,2.0,8.0,13.0,3823,GEO DATA
180,7,434.0,2023.0,2.0,8.0,14.0,2844,GEO DATA
181,7,434.0,2023.0,2.0,8.0,15.0,2897,GEO DATA
182,7,434.0,2023.0,2.0,8.0,16.0,3533,GEO DATA
183,7,434.0,2023.0,2.0,8.0,17.0,2510,GEO DATA
184,7,434.0,2023.0,2.0,8.0,18.0,3504,GEO DATA
185,7,434.0,2023.0,2.0,8.0,19.0,2137,GEO DATA
186,7,434.0,2023.0,2.0,8.0,20.0,2571,GEO DATA
187,7,434.0,2023.0,2.0,8.0,21.0,3310,GEO DATA
188,7,434.0,2023.0,2.0,8.0,22.0,2449,GEO DATA
189,7,434.0,2023.0,2.0,8.0,23.0,3571,GEO DATA
190,7,434.0,2023.0,2.0,9.0,0.0,2457,GEO DATA
191,7,434.0,2023.0,2.0,9.0,1.0,2154,GEO DATA
192,8,120.0,2023.0,10.0,3.0,4.0,15,GEO DATA
193,8,120.0,2023.0,10.0,3.0,5.0,5,GEO DATA
194,8,120.0,2023.0,10.0,3.0,6.0,15,GEO DATA
195,8,120.0,2023.0,10.0,3.0,7.0,50,GEO DATA
196,8,120.0,2023.0,10.0,3.0,8.0,261,GEO DATA
197,8,120.0,2023.0,10.0,3.0,9.0,222,GEO DATA
198,8,120.0,2023.0,10.0,3.0,10.0,227,GEO DATA
199,8,120.0,2023.0,10.0,3.0,11.0,496,GEO DATA
200,8,120.0,2023.0,10.0,3.0,12.0,492,GEO DATA
201,8,120.0,2023.0,10.0,3.0,13.0,265,GEO DATA
202,8,120.0,2023.0,10.0,3.0,14.0,427,GEO DATA
203,8,120.0,2023.0,10.0,3.0,15.0,342,GEO DATA
204,8,120.0,2023.0,10.0,3.0,16.0,336,GEO DATA
205,8,120.0,2023.0,10.0,3.0,17.0,421,GEO DATA
206,8,120.0,2023.0,10.0,3.0,18.0,280,GEO DATA
207,8,120.0,2023.0,10.0,3.0,19.0,155,GEO DATA
208,8,120.0,2023.0,10.0,3.0,20.0,310,GEO DATA
209,8,120.0,2023.0,10.0,3.0,21.0,105,GEO DATA
210,8,120.0,2023.0,10.0,3.0,22.0,164,GEO DATA
211,8,120.0,2023.0,10.0,3.0,23.0,90,GEO DATA
212,8,120.0,2023.0,10.0,4.0,0.0,68,GEO DATA
213,8,120.0,2023.0,10.0,4.0,1.0,271,GEO DATA
214,8,120.0,2023.0,10.0,4.0,2.0,48,GEO DATA
215,8,120.0,2023.0,10.0,4.0,3.0,6848,GEO DATA
216,8,120.0,2023.0,10.0,4.0,4.0,6520,GEO DATA
217,8,120.0,2023.0,10.0,4.0,5.0,6487,GEO DATA
218,8,120.0,2023.0,10.0,4.0,6.0,6653,GEO DATA
219,8,120.0,2023.0,10.0,4.0,7.0,7508,GEO DATA
220,8,120.0,2023.0,10.0,4.0,8.0,9334,GEO DATA
221,8,120.0,2023.0,10.0,4.0,9.0,11627,GEO DATA
222,8,120.0,2023.0,10.0,4.0,10.0,10458,GEO DATA
223,8,120.0,2023.0,10.0,4.0,11.0,11150,GEO DATA
224,8,120.0,2023.0,10.0,4.0,12.0,12363,GEO DATA
225,8,120.0,2023.0,10.0,4.0,13.0,11818,GEO DATA
226,8,120.0,2023.0,10.0,4.0,14.0,12392,GEO DATA
227,8,120.0,2023.0,10.0,4.0,15.0,12970,GEO DATA
228,8,120.0,2023.0,10.0,4.0,16.0,12079,GEO DATA
229,8,120.0,2023.0,10.0,4.0,17.0,12131,GEO DATA
230,8,120.0,2023.0,10.0,4.0,18.0,12435,GEO DATA
231,8,120.0,2023.0,10.0,4.0,19.0,12967,GEO DATA
232,8,120.0,2023.0,10.0,4.0,20.0,12624,GEO DATA
233,8,120.0,2023.0,10.0,4.0,21.0,12855,GEO DATA
234,8,120.0,2023.0,10.0,4.0,22.0,11337,GEO DATA
235,8,120.0,2023.0,10.0,4.0,23.0,10406,GEO DATA
236,8,120.0,2023.0,10.0,5.0,0.0,9601,GEO DATA
237,8,120.0,2023.0,10.0,5.0,1.0,8477,GEO DATA
238,8,120.0,2023.0,10.0,5.0,2.0,7418,GEO DATA
239,8,120.0,2023.0,10.0,5.0,4.0,1,GEO DATA
240,8,120.0,2023.0,10.0,5.0,6.0,1,GEO DATA
241,8,120.0,2023.0,10.0,5.0,7.0,8,GEO DATA
242,8,120.0,2023.0,10.0,5.0,9.0,15,GEO DATA
243,8,120.0,2023.0,10.0,5.0,10.0,5,GEO DATA
