,index,Device_ID_geo,Latitude,Longitude,Timestamp,Location_Name,Service_Provider_ID
2856,2259,42181141-adf9-2b5d-deea-18a2a9234a11,16.71455,42.9559,2023-10-10 11:35:56,42181141-adf9-2b5d-deea-18a2a9234a11,9
2857,2260,42181141-adf9-2b5d-deea-18a2a9234a11,16.7144,42.95594,2023-10-10 11:40:42,42181141-adf9-2b5d-deea-18a2a9234a11,9
2858,2261,42181141-adf9-2b5d-deea-18a2a9234a11,16.7144,42.95597,2023-10-10 11:40:46,42181141-adf9-2b5d-deea-18a2a9234a11,9
2859,2262,42181141-adf9-2b5d-deea-18a2a9234a11,16.71442,42.95598,2023-10-10 11:41:04,42181141-adf9-2b5d-deea-18a2a9234a11,9
2860,2263,42181141-adf9-2b5d-deea-18a2a9234a11,16.71448,42.95593,2023-10-10 11:41:05,42181141-adf9-2b5d-deea-18a2a9234a11,9
2861,2264,42181141-adf9-2b5d-deea-18a2a9234a11,16.7144,42.95591,2023-10-10 11:41:53,42181141-adf9-2b5d-deea-18a2a9234a11,9
2862,2265,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.95592,2023-10-10 11:46:13,42181141-adf9-2b5d-deea-18a2a9234a11,9
2863,2266,42181141-adf9-2b5d-deea-18a2a9234a11,16.71451,42.95591,2023-10-10 11:46:18,42181141-adf9-2b5d-deea-18a2a9234a11,9
2864,2267,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.95591,2023-10-10 11:46:20,42181141-adf9-2b5d-deea-18a2a9234a11,9
2865,2268,42181141-adf9-2b5d-deea-18a2a9234a11,16.71454,42.95593,2023-10-10 11:46:22,42181141-adf9-2b5d-deea-18a2a9234a11,9
2866,2269,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95591,2023-10-10 11:46:27,42181141-adf9-2b5d-deea-18a2a9234a11,9
2867,2270,42181141-adf9-2b5d-deea-18a2a9234a11,16.71454,42.95592,2023-10-10 11:46:28,42181141-adf9-2b5d-deea-18a2a9234a11,9
2868,2271,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.95596,2023-10-10 11:46:29,42181141-adf9-2b5d-deea-18a2a9234a11,9
2869,2272,42181141-adf9-2b5d-deea-18a2a9234a11,16.7146,42.95595,2023-10-10 11:57:17,42181141-adf9-2b5d-deea-18a2a9234a11,9
2870,2273,42181141-adf9-2b5d-deea-18a2a9234a11,16.7164,42.95606,2023-10-10 11:59:32,42181141-adf9-2b5d-deea-18a2a9234a11,9
2871,2274,42181141-adf9-2b5d-deea-18a2a9234a11,16.71451,42.95597,2023-10-10 12:02:37,42181141-adf9-2b5d-deea-18a2a9234a11,9
2872,2275,42181141-adf9-2b5d-deea-18a2a9234a11,16.71455,42.9559,2023-10-10 12:07:15,42181141-adf9-2b5d-deea-18a2a9234a11,9
2873,2276,42181141-adf9-2b5d-deea-18a2a9234a11,16.71458,42.95592,2023-10-10 12:07:18,42181141-adf9-2b5d-deea-18a2a9234a11,9
2874,2277,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95598,2023-10-10 12:07:22,42181141-adf9-2b5d-deea-18a2a9234a11,9
2875,2278,42181141-adf9-2b5d-deea-18a2a9234a11,16.71451,42.95592,2023-10-10 12:07:27,42181141-adf9-2b5d-deea-18a2a9234a11,9
2876,2279,42181141-adf9-2b5d-deea-18a2a9234a11,16.71458,42.95592,2023-10-10 12:07:48,42181141-adf9-2b5d-deea-18a2a9234a11,9
2877,2280,42181141-adf9-2b5d-deea-18a2a9234a11,16.71457,42.9558,2023-10-10 12:13:00,42181141-adf9-2b5d-deea-18a2a9234a11,9
2878,2281,42181141-adf9-2b5d-deea-18a2a9234a11,16.71644,42.95617,2023-10-10 12:19:10,42181141-adf9-2b5d-deea-18a2a9234a11,9
2879,2282,42181141-adf9-2b5d-deea-18a2a9234a11,16.71446,42.95583,2023-10-10 12:23:30,42181141-adf9-2b5d-deea-18a2a9234a11,9
2880,2283,42181141-adf9-2b5d-deea-18a2a9234a11,16.71451,42.95584,2023-10-10 12:23:34,42181141-adf9-2b5d-deea-18a2a9234a11,9
2881,2284,42181141-adf9-2b5d-deea-18a2a9234a11,16.71455,42.9558,2023-10-10 12:23:35,42181141-adf9-2b5d-deea-18a2a9234a11,9
2882,2285,42181141-adf9-2b5d-deea-18a2a9234a11,16.71453,42.95585,2023-10-10 12:23:39,42181141-adf9-2b5d-deea-18a2a9234a11,9
2883,2286,42181141-adf9-2b5d-deea-18a2a9234a11,16.71454,42.95586,2023-10-10 12:23:46,42181141-adf9-2b5d-deea-18a2a9234a11,9
2884,2287,42181141-adf9-2b5d-deea-18a2a9234a11,16.71451,42.95582,2023-10-10 12:28:13,42181141-adf9-2b5d-deea-18a2a9234a11,9
2885,2288,42181141-adf9-2b5d-deea-18a2a9234a11,16.71454,42.95581,2023-10-10 12:28:29,42181141-adf9-2b5d-deea-18a2a9234a11,9
2886,2289,42181141-adf9-2b5d-deea-18a2a9234a11,16.71451,42.9558,2023-10-10 12:37:04,42181141-adf9-2b5d-deea-18a2a9234a11,9
2887,2290,42181141-adf9-2b5d-deea-18a2a9234a11,16.71458,42.9558,2023-10-10 12:37:57,42181141-adf9-2b5d-deea-18a2a9234a11,9
2888,2291,42181141-adf9-2b5d-deea-18a2a9234a11,16.71634,42.9561,2023-10-10 12:40:27,42181141-adf9-2b5d-deea-18a2a9234a11,9
2889,2292,42181141-adf9-2b5d-deea-18a2a9234a11,16.71634,42.9561,2023-10-10 12:41:10,42181141-adf9-2b5d-deea-18a2a9234a11,9
