,Device_ID_geo,Latitude,Longitude,Timestamp,Location_Name,Service_Provider_ID,HourOfDay,Date,Cluster,Location
69,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89209,35.49216,2023-09-26 15:02:42,b799f49f-81b1-491b-ab99-9092bc8c7325,9,15,2023-09-26,0,"(33.89214149, 35.49206128)"
70,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89209,35.49222,2023-09-26 15:10:34,b799f49f-81b1-491b-ab99-9092bc8c7325,9,15,2023-09-26,0,"(33.89214149, 35.49206128)"
71,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89213,35.49217,2023-09-26 15:16:55,b799f49f-81b1-491b-ab99-9092bc8c7325,9,15,2023-09-26,0,"(33.89214149, 35.49206128)"
72,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89217,35.49214,2023-09-26 15:22:40,b799f49f-81b1-491b-ab99-9092bc8c7325,9,15,2023-09-26,0,"(33.89214149, 35.49206128)"
76,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89196,35.49202,2023-09-26 15:59:03,b799f49f-81b1-491b-ab99-9092bc8c7325,9,15,2023-09-26,0,"(33.89214149, 35.49206128)"
79,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89198,35.49204,2023-09-26 16:14:44,b799f49f-81b1-491b-ab99-9092bc8c7325,9,16,2023-09-26,0,"(33.89214149, 35.49206128)"
80,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89199,35.49205,2023-09-26 16:20:37,b799f49f-81b1-491b-ab99-9092bc8c7325,9,16,2023-09-26,0,"(33.89214149, 35.49206128)"
81,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89209,35.49198,2023-09-26 16:26:02,b799f49f-81b1-491b-ab99-9092bc8c7325,9,16,2023-09-26,0,"(33.89214149, 35.49206128)"
82,b799f49f-81b1-491b-ab99-9092bc8c7325,33.892,35.49204,2023-09-26 16:33:14,b799f49f-81b1-491b-ab99-9092bc8c7325,9,16,2023-09-26,0,"(33.89214149, 35.49206128)"
83,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89202,35.49201,2023-09-26 16:41:05,b799f49f-81b1-491b-ab99-9092bc8c7325,9,16,2023-09-26,0,"(33.89214149, 35.49206128)"
84,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89207,35.49195,2023-09-26 16:49:24,b799f49f-81b1-491b-ab99-9092bc8c7325,9,16,2023-09-26,0,"(33.89214149, 35.49206128)"
88,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89197,35.49205,2023-09-26 17:18:39,b799f49f-81b1-491b-ab99-9092bc8c7325,9,17,2023-09-26,0,"(33.89214149, 35.49206128)"
92,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89215,35.49205,2023-09-26 17:53:37,b799f49f-81b1-491b-ab99-9092bc8c7325,9,17,2023-09-26,0,"(33.89214149, 35.49206128)"
93,b799f49f-81b1-491b-ab99-9092bc8c7325,33.8921,35.49205,2023-09-26 18:03:29,b799f49f-81b1-491b-ab99-9092bc8c7325,9,18,2023-09-26,0,"(33.89214149, 35.49206128)"
94,b799f49f-81b1-491b-ab99-9092bc8c7325,33.8921,35.49203,2023-09-26 18:10:42,b799f49f-81b1-491b-ab99-9092bc8c7325,9,18,2023-09-26,0,"(33.89214149, 35.49206128)"
95,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89208,35.49201,2023-09-26 18:16:18,b799f49f-81b1-491b-ab99-9092bc8c7325,9,18,2023-09-26,0,"(33.89214149, 35.49206128)"
96,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89213,35.49197,2023-09-26 18:22:34,b799f49f-81b1-491b-ab99-9092bc8c7325,9,18,2023-09-26,0,"(33.89214149, 35.49206128)"
108,b799f49f-81b1-491b-ab99-9092bc8c7325,33.8921,35.49197,2023-09-26 19:34:39,b799f49f-81b1-491b-ab99-9092bc8c7325,9,19,2023-09-26,0,"(33.89214149, 35.49206128)"
115,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89215,35.49209,2023-09-26 20:33:32,b799f49f-81b1-491b-ab99-9092bc8c7325,9,20,2023-09-26,0,"(33.89214149, 35.49206128)"
116,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89211,35.49209,2023-09-26 20:39:14,b799f49f-81b1-491b-ab99-9092bc8c7325,9,20,2023-09-26,0,"(33.89214149, 35.49206128)"
117,b799f49f-81b1-491b-ab99-9092bc8c7325,33.8922,35.49204,2023-09-26 21:01:57,b799f49f-81b1-491b-ab99-9092bc8c7325,9,21,2023-09-26,0,"(33.89214149, 35.49206128)"
118,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89213,35.49203,2023-09-26 21:07:54,b799f49f-81b1-491b-ab99-9092bc8c7325,9,21,2023-09-26,0,"(33.89214149, 35.49206128)"
119,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89215,35.49204,2023-09-26 21:13:45,b799f49f-81b1-491b-ab99-9092bc8c7325,9,21,2023-09-26,0,"(33.89214149, 35.49206128)"
120,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89212,35.49211,2023-09-26 21:19:45,b799f49f-81b1-491b-ab99-9092bc8c7325,9,21,2023-09-26,0,"(33.89214149, 35.49206128)"
121,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89216,35.49206,2023-09-26 21:28:58,b799f49f-81b1-491b-ab99-9092bc8c7325,9,21,2023-09-26,0,"(33.89214149, 35.49206128)"
122,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89211,35.49203,2023-09-26 21:41:52,b799f49f-81b1-491b-ab99-9092bc8c7325,9,21,2023-09-26,0,"(33.89214149, 35.49206128)"
123,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89206,35.49201,2023-09-26 21:48:48,b799f49f-81b1-491b-ab99-9092bc8c7325,9,21,2023-09-26,0,"(33.89214149, 35.49206128)"
124,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89207,35.49203,2023-09-26 21:56:50,b799f49f-81b1-491b-ab99-9092bc8c7325,9,21,2023-09-26,0,"(33.89214149, 35.49206128)"
125,b799f49f-81b1-491b-ab99-9092bc8c7325,33.8921,35.49203,2023-09-26 22:03:39,b799f49f-81b1-491b-ab99-9092bc8c7325,9,22,2023-09-26,0,"(33.89214149, 35.49206128)"
126,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89205,35.49195,2023-09-26 22:10:13,b799f49f-81b1-491b-ab99-9092bc8c7325,9,22,2023-09-26,0,"(33.89214149, 35.49206128)"
127,b799f49f-81b1-491b-ab99-9092bc8c7325,33.89212,35.49197,2023-09-26 22:19:55,b799f49f-81b1-491b-ab99-9092bc8c7325,9,22,2023-09-26,0,"(33.89214149, 35.49206128)"
