,Device_ID_geo,Location_Name,Service_Provider_ID,Latitude,Longitude,Timestamp,Cluster
207,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920526,35.491906,2023-10-12 13:39:14,0
208,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921276,35.4920664,2023-10-12 13:46:22,0
209,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921276,35.4920664,2023-10-12 13:53:51,0
210,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921276,35.4920664,2023-10-12 13:58:29,0
223,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8886551,35.488714,2023-10-12 15:24:16,3
225,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8885099,35.4884616,2023-10-12 15:38:57,2
230,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892197,35.492096,2023-10-12 16:09:32,0
231,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892146,35.4920449,2023-10-12 16:15:17,0
232,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892146,35.4920449,2023-10-12 16:21:38,0
233,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892146,35.4920449,2023-10-12 16:34:39,0
234,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892146,35.4920449,2023-10-12 16:41:25,0
235,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921114,35.4920262,2023-10-12 16:48:08,0
236,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921114,35.4920262,2023-10-12 16:56:00,0
237,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921114,35.4920262,2023-10-12 16:56:15,0
238,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921114,35.4920262,2023-10-12 17:03:02,0
239,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921114,35.4920262,2023-10-12 17:10:21,0
240,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921114,35.4920262,2023-10-12 17:16:26,0
241,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921411,35.4920442,2023-10-12 17:22:37,0
242,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921411,35.4920442,2023-10-12 17:28:22,0
243,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8922009,35.4920977,2023-10-12 18:00:21,0
244,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8922009,35.4920977,2023-10-12 18:11:29,0
245,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8922009,35.4920977,2023-10-12 18:23:51,0
246,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8922009,35.4920977,2023-10-12 18:30:02,0
247,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921929,35.4920966,2023-10-12 18:38:54,0
248,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921929,35.4920966,2023-10-12 18:44:51,0
249,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921978,35.4921078,2023-10-12 18:52:11,0
251,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920977,35.4920896,2023-10-12 19:05:31,0
252,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920977,35.4920896,2023-10-12 19:10:36,0
253,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.89216,35.4919192,2023-10-12 19:16:52,0
254,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.89216,35.4919192,2023-10-12 19:23:12,0
255,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.89216,35.4919192,2023-10-12 19:29:09,0
256,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8922566,35.4919946,2023-10-12 19:45:06,0
257,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8922566,35.4919946,2023-10-12 19:46:01,0
258,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920719,35.4919625,2023-10-12 19:51:47,0
259,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920719,35.4919625,2023-10-12 19:58:47,0
260,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920719,35.4919625,2023-10-12 20:06:37,0
261,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921942,35.4920966,2023-10-12 20:28:40,0
262,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921942,35.4920966,2023-10-12 20:35:24,0
263,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921942,35.4920966,2023-10-12 20:41:24,0
264,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921942,35.4920966,2023-10-12 20:47:30,0
265,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921957,35.4920989,2023-10-12 20:56:21,0
266,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921957,35.4920989,2023-10-12 21:08:51,0
267,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921957,35.4920989,2023-10-12 21:14:21,0
268,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921916,35.492099,2023-10-13 01:30:55,0
269,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8922059,35.492096,2023-10-13 03:01:04,0
270,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921968,35.4920926,2023-10-13 04:30:55,0
271,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921968,35.4920926,2023-10-13 04:30:56,0
272,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921928,35.4920965,2023-10-13 04:38:05,0
273,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921916,35.4920988,2023-10-13 04:45:30,0
274,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921992,35.4920957,2023-10-13 04:53:02,0
275,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921992,35.4920957,2023-10-13 04:59:37,0
276,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921992,35.4920957,2023-10-13 05:06:12,0
277,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921992,35.4920957,2023-10-13 05:13:02,0
278,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921992,35.4920957,2023-10-13 05:19:49,0
279,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8922086,35.4920964,2023-10-13 05:25:31,0
280,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8922076,35.4920916,2023-10-13 05:32:17,0
281,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921689,35.492002,2023-10-13 05:39:03,0
282,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921868,35.4918929,2023-10-13 05:44:38,0
283,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921086,35.4919785,2023-10-13 05:50:26,0
284,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921784,35.4919895,2023-10-13 05:50:27,0
285,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921784,35.4919895,2023-10-13 05:56:29,0
286,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921784,35.4919895,2023-10-13 06:01:41,0
287,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921784,35.4919895,2023-10-13 06:10:38,0
288,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921784,35.4919895,2023-10-13 06:16:08,0
289,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892112,35.4920101,2023-10-13 06:26:26,0
290,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892112,35.4920101,2023-10-13 06:32:37,0
291,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892112,35.4920101,2023-10-13 06:39:12,0
292,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892112,35.4920101,2023-10-13 06:44:23,0
293,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892112,35.4920101,2023-10-13 06:50:43,0
294,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921657,35.4920757,2023-10-13 06:56:34,0
295,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921657,35.4920757,2023-10-13 07:03:05,0
296,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8922564,35.4920622,2023-10-13 07:13:00,0
297,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8922564,35.4920622,2023-10-13 07:13:06,0
298,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920208,35.491977,2023-10-13 07:22:19,0
299,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920208,35.491977,2023-10-13 07:26:56,0
300,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920208,35.491977,2023-10-13 07:34:22,0
301,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920208,35.491977,2023-10-13 07:45:42,0
302,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920208,35.491977,2023-10-13 07:52:23,0
303,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921996,35.492096,2023-10-13 07:59:45,0
304,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921996,35.492096,2023-10-13 08:08:49,0
305,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921996,35.492096,2023-10-13 08:15:26,0
306,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921996,35.492096,2023-10-13 08:21:26,0
307,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921186,35.4921777,2023-10-13 08:27:31,0
308,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921186,35.4921777,2023-10-13 08:33:23,0
309,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921186,35.4921777,2023-10-13 08:34:19,0
310,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921186,35.4921777,2023-10-13 08:40:25,0
311,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921186,35.4921777,2023-10-13 08:46:28,0
312,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921186,35.4921777,2023-10-13 08:54:16,0
313,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921125,35.4921574,2023-10-13 09:01:06,0
314,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921125,35.4921574,2023-10-13 09:10:38,0
315,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921125,35.4921574,2023-10-13 09:16:12,0
316,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921125,35.4921574,2023-10-13 09:21:52,0
317,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921125,35.4921574,2023-10-13 09:28:10,0
318,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921125,35.4921574,2023-10-13 09:34:12,0
319,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921125,35.4921574,2023-10-13 09:40:38,0
320,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921125,35.4921574,2023-10-13 09:45:21,0
321,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921125,35.4921574,2023-10-13 09:51:57,0
322,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921125,35.4921574,2023-10-13 09:52:25,0
323,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8920988,35.4918266,2023-10-13 09:52:33,0
329,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8886284,35.4887146,2023-10-13 10:35:35,3
330,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8886862,35.4887214,2023-10-13 10:40:47,3
331,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8884829,35.4884812,2023-10-13 10:46:33,2
332,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8884878,35.4884751,2023-10-13 10:53:26,2
334,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921161,35.4920986,2023-10-13 11:04:30,0
335,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892286,35.4921465,2023-10-13 11:10:55,0
336,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892286,35.4921465,2023-10-13 11:17:15,0
337,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892286,35.4921465,2023-10-13 11:22:40,0
338,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.892286,35.4921465,2023-10-13 11:22:45,0
339,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921919,35.4920915,2023-10-13 11:28:47,0
340,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921966,35.4920944,2023-10-13 11:33:33,0
341,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921966,35.4920944,2023-10-13 11:39:53,0
342,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921966,35.4920944,2023-10-13 11:45:02,0
343,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921966,35.4920944,2023-10-13 11:51:38,0
344,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,8,33.8921966,35.4920944,2023-10-13 11:57:22,0
