device_id,location_latitude,location_longitude,usage_timeframe,location_name,service_provider_id,grid
e59a971e-b9b4-4e80-a430-440ddee94c44,24.7820648,41.5107688,2023-10-05 07:15:57,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.781820319424096,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78205,41.51079,2023-10-05 06:13:17,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.782272505290575,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78209,41.51076,2023-10-05 06:19:02,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.782272505290575,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78205,41.51074,2023-10-05 06:19:16,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.782272505290575,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78209,41.51077,2023-10-05 06:58:09,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.782272505290575,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78207,41.51073,2023-10-05 07:03:02,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.782272505290575,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78208,41.51077,2023-10-05 07:10:48,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.782272505290575,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78205,41.51076,2023-10-05 07:37:28,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.782272505290575,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78211,41.51074,2023-10-05 08:05:06,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.782272505290575,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.78209,41.51078,2023-10-05 08:10:56,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.782272505290575,41.510913641965644"
e59a971e-b9b4-4e80-a430-440ddee94c44,24.7820476,41.5107607,2023-10-05 06:18:38,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.782272505290575,41.510913641965644"
e59a971e-b9b4-4e80-a430-440ddee94c44,24.7820648,41.5107688,2023-10-05 06:18:50,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.782272505290575,41.510913641965644"
e59a971e-b9b4-4e80-a430-440ddee94c44,24.7820142,41.5107644,2023-10-05 06:18:54,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.782272505290575,41.510913641965644"
e59a971e-b9b4-4e80-a430-440ddee94c44,24.7820386,41.5107851,2023-10-05 06:18:55,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.782272505290575,41.510913641965644"
e59a971e-b9b4-4e80-a430-440ddee94c44,24.7820648,41.5107688,2023-10-05 06:19:00,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.782272505290575,41.510913641965644"
e59a971e-b9b4-4e80-a430-440ddee94c44,24.7820648,41.5107688,2023-10-05 07:02:46,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.782272505290575,41.510913641965644"
e25d599e-c5c8-4e40-a810-880aaee58b88,24.92887,42.74596,2023-10-05 06:00:33,e25d599e-c5c8-4e40-a810-880aaee58b88,9,"24.928780726029625,42.74597946494485"
e59a971e-b9b4-4e80-a430-440ddee94c44,24.9288562,42.7459462,2023-10-05 06:00:59,e59a971e-b9b4-4e80-a430-440ddee94c44,9,"24.928780726029625,42.74597946494485"
